# t x y z velocityx velocityy velocityz
1.585710000000000036e+03 0.000000000000000000e+00 0.000000000000000000e+00 -5.131497022437513794e-02 -1.225015764164588128e-01 9.892413264443406049e-04 1.130187357712612861e-01
1.585750000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.650696179195434182e-02 -1.071618665360118128e-01 3.610235154627485237e-04 1.444833649279047283e-01
1.585759999999999991e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.505400587575487253e-02 -1.018730521837422354e-01 -2.276491275741711860e-04 1.509151096589680108e-01
1.585759999999999991e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.441066959250983270e-02 -9.966718969322203858e-02 -4.254103571094783624e-04 1.532898901906705469e-01
1.585769999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.336035632481047286e-02 -9.624748458466970968e-02 -6.161249243913637054e-04 1.567960377656974491e-01
1.585779999999999973e+03 0.000000000000000000e+00 0.000000000000000000e+00 -4.163107047602271349e-02 -9.094322952334794874e-02 -9.164452639695428371e-04 1.617479722844226697e-01
1.585799999999999955e+03 0.000000000000000000e+00 0.000000000000000000e+00 -3.872683306489527189e-02 -8.266627251966976453e-02 -1.638839192153057362e-03 1.740341619047754418e-01
1.585829999999999927e+03 0.000000000000000000e+00 0.000000000000000000e+00 -3.350474855290260651e-02 -5.232955842895266330e-02 -4.592101569465981657e-03 1.731779040538786729e-01
1.585869999999999891e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.668987066347260767e-02 -2.734014608841611044e-02 -4.106717333460344586e-03 1.765085057380123001e-01
1.585910000000000082e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.047972944972886386e-02 -1.197315662353425937e-02 -2.632251692080232481e-03 1.818573973594373172e-01
1.585940000000000055e+03 0.000000000000000000e+00 0.000000000000000000e+00 -1.377607690587049835e-02 3.978775385161348321e-02 4.124446318786762107e-04 1.713933842579671296e-01
1.585980000000000018e+03 0.000000000000000000e+00 0.000000000000000000e+00 -6.598624479856486993e-03 4.702616332533492843e-02 1.648962083595986380e-03 1.655003532881761108e-01
1.586019999999999982e+03 0.000000000000000000e+00 0.000000000000000000e+00 -2.917785405378743591e-04 6.577683826586980254e-02 2.502426625344779301e-03 1.672021036160082630e-01
1.586059999999999945e+03 0.000000000000000000e+00 0.000000000000000000e+00 5.476100784658796509e-03 1.092837532718576310e-01 4.323464973358519606e-03 1.389570155604339663e-01
1.586099999999999909e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.062328863447066681e-02 1.087122693235465509e-01 3.208015851439604410e-03 1.184282740721183391e-01
1.586140000000000100e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.492275451063382503e-02 8.083302040028365887e-02 2.162507082095357133e-03 9.456122011812698180e-02
1.586180000000000064e+03 0.000000000000000000e+00 0.000000000000000000e+00 1.813784912724072246e-02 6.309825684996989148e-02 2.268999958513880089e-03 7.066498198009971143e-02
1.586210000000000036e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.032290053894272169e-02 1.068207489168302160e-01 -6.486168143076522473e-03 3.908846308537171355e-02
1.586250000000000000e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.150836553942203633e-02 9.661693160834421146e-02 -7.433713647547491102e-03 1.924885512594824363e-02
1.586289999999999964e+03 0.000000000000000000e+00 0.000000000000000000e+00 2.199906263502780096e-02 8.293024076569718850e-02 -6.983719995160370120e-03 2.339734730280857919e-03
