ZONE T = " 0.00000E+00", I=  129, J=  256
 2.14540130E-02 -8.44751761E-02  8.08577620E-18  1.15986704E-16 -1.56535598E+01 -1.56535598E+01
 2.21244509E-02 -8.44751761E-02  2.02144405E-18  1.55852451E-16 -1.56535598E+01 -1.56535598E+01
 2.27948888E-02 -8.44751761E-02  5.71750719E-18  2.44521442E-16 -1.56535598E+01 -1.56116831E+01
 2.34653267E-02 -8.44751761E-02  5.71750719E-18  1.16388739E-16 -1.56535598E+01 -1.56535598E+01
 2.41357646E-02 -8.44751761E-02  9.04017262E-18  1.39398670E-16 -1.56535598E+01 -1.56535598E+01
 2.48062025E-02 -8.44751761E-02  1.08858094E-17  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 2.54766404E-02 -8.44751761E-02  2.52680506E-18  2.08202506E-16 -1.56535598E+01 -1.56535598E+01
 2.61470783E-02 -8.44751761E-02  4.52008631E-18  1.93311174E-16 -1.56535598E+01 -1.56535598E+01
 2.68175162E-02 -8.44751761E-02  9.04017262E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 2.74879541E-02 -8.44751761E-02  5.71750719E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 2.81583920E-02 -8.44751761E-02  7.28842018E-18  1.23779546E-16 -1.56535598E+01 -1.56535598E+01
 2.88288299E-02 -8.44751761E-02  2.02144405E-18  1.59408478E-16 -1.56535598E+01 -1.56535598E+01
 2.94992678E-02 -8.44751761E-02  4.04288810E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 3.01697057E-02 -8.44751761E-02  4.04288810E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.08401437E-02 -8.44751761E-02  4.52008631E-18  0.00000000E+00 -1.56535598E+01 -1.56535598E+01
 3.15105816E-02 -8.44751761E-02  2.02144405E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.21810195E-02 -8.44751761E-02  0.00000000E+00  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 3.28514574E-02 -8.44751761E-02  1.01072203E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.35218953E-02 -8.44751761E-02  7.28842018E-18  9.66555868E-17 -1.56535598E+01 -1.56535598E+01
 3.41923332E-02 -8.44751761E-02  4.04288810E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.48627711E-02 -8.44751761E-02  4.52008631E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 3.55332090E-02 -8.44751761E-02  6.47177870E-18  1.09353313E-16 -1.56535598E+01 -1.56535598E+01
 3.62036469E-02 -8.44751761E-02  4.04288810E-18  6.57329057E-17 -1.56535598E+01 -1.56535598E+01
 3.68740848E-02 -8.44751761E-02  4.04288810E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.75445227E-02 -8.44751761E-02  4.31780639E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
 3.82149606E-02 -8.44751761E-02  8.08577620E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 3.88853985E-02 -8.44751761E-02  8.08577620E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 3.95558364E-02 -8.44751761E-02  5.44290468E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 4.02262743E-02 -8.44751761E-02  8.08577620E-18  7.97042388E-17 -1.56535598E+01 -1.56535598E+01
 4.08967122E-02 -8.44751761E-02  4.52008631E-18  1.72902770E-16 -1.56535598E+01 -1.56535598E+01
 4.15671501E-02 -8.44751761E-02  5.71750719E-18  5.79933521E-17 -1.56535598E+01 -1.56535598E+01
 4.22375880E-02 -8.44751761E-02  6.39236736E-18  6.96993349E-17 -1.56535598E+01 -1.56535598E+01
 4.29080259E-02 -8.44751761E-02  3.64421009E-18  7.73244695E-17 -1.56535598E+01 -1.56535598E+01
 4.35784639E-02 -8.44751761E-02  4.16731367E-18  3.86622347E-17 -1.56535598E+01 -1.56535598E+01
 4.42489018E-02 -8.44751761E-02  5.44290468E-18  6.96993349E-17 -1.56535598E+01 -1.56535598E+01
 4.49193397E-02 -8.44751761E-02  0.00000000E+00  6.96993349E-17 -1.56535598E+01 -1.56535598E+01
 4.55897776E-02 -8.44751761E-02  7.89399137E-18  0.00000000E+00 -1.56535598E+01 -1.56535598E+01
 4.62602155E-02 -8.44751761E-02  4.31780639E-18  7.86719479E-17 -1.56535598E+01 -1.56535598E+01
 4.69306534E-02 -8.44751761E-02  2.26004316E-18  1.93311174E-17 -1.56535598E+01 -1.56535598E+01
 4.76010913E-02 -8.44751761E-02  4.16731367E-18  1.55852451E-16 -1.56535598E+01 -1.56535598E+01
 4.82715292E-02 -8.44751761E-02  5.05361013E-19  1.25652263E-16 -1.56535598E+01 -1.56535598E+01
 4.89419671E-02 -8.44751761E-02  6.31701266E-18  3.93359739E-17 -1.56535598E+01 -1.56535598E+01
 4.96124050E-02 -8.44751761E-02  4.16731367E-18  4.83277934E-17 -1.56535598E+01 -1.56535598E+01
 5.02828429E-02 -8.44751761E-02  2.02144405E-18  5.46766567E-17 -1.56535598E+01 -1.56535598E+01
 5.09532808E-02 -8.44751761E-02  4.52008631E-18  5.46766567E-17 -1.56535598E+01 -1.56535598E+01
 5.16237187E-02 -8.44751761E-02  3.03216608E-18  1.12718815E-16 -1.56535598E+01 -1.56535598E+01
 5.22941566E-02 -8.44751761E-02  3.03216608E-18  2.89966761E-17 -1.56535598E+01 -1.56535598E+01
 5.29645945E-02 -8.44751761E-02  4.04288810E-18  1.08603208E-16 -1.56535598E+01 -1.56535598E+01
 5.36350324E-02 -8.44751761E-02  2.26004316E-18  1.47221404E-16 -1.56535598E+01 -1.56535598E+01
 5.43054703E-02 -8.44751761E-02  8.14870148E-18  8.64513850E-17 -1.56535598E+01 -1.56535598E+01
